long,lat,city,count
-158.0,21.0,Ahuimanu,14
-158.0,21.0,Aiea,1
-158.0,21.0,Heeia,1
-158.0,21.0,Honolulu,7143
-158.0,21.0,Kailua,5407
-158.0,21.0,Kaneohe,2058
-158.0,21.0,Waipahu,43
-123.0,38.0,San Francisco,3049
-123.0,38.0,Santa Rosa,1122
-123.0,39.0,Santa Rosa,91
-123.0,45.0,Portland,51919
-123.0,46.0,Portland,161389
-122.0,37.0,San Jose,264806
-122.0,38.0,Oakland,34858
-122.0,38.0,Sacramento,2529
-122.0,38.0,San Francisco,170601
-122.0,39.0,Sacramento,17762
-122.0,45.0,Portland,1232
-122.0,46.0,Portland,2211
-122.0,47.0,Seattle,115
-122.0,48.0,Seattle,164788
-121.0,35.0,Ontario,415
-121.0,35.0,Stockton,413
-121.0,36.0,Ontario,123
-121.0,38.0,Sacramento,7270
-121.0,38.0,Stockton,71281
-121.0,39.0,Sacramento,56425
-120.0,35.0,Stockton,9208
-120.0,36.0,Oakland,2
-120.0,36.0,Ontario,4
-120.0,36.0,Sacramento,49
-120.0,36.0,Stockton,953
-119.0,34.0,Los Angeles,77341
-119.0,34.0,Ontario,757
-119.0,34.0,Stockton,40
-119.0,35.0,Sacramento,11
-119.0,35.0,Stockton,34
-119.0,36.0,Ontario,61
-119.0,36.0,Sacramento,40
-119.0,36.0,Stockton,545
-118.0,34.0,Anaheim,50104
-118.0,34.0,Garden Grove,17382
-118.0,34.0,Huntington Beach,45079
-118.0,34.0,Los Angeles,308887
-118.0,34.0,Ontario,56820
-118.0,34.0,Rancho Cucamonga,77905
-118.0,34.0,Stockton,152
-118.0,35.0,Oakland,50
-118.0,35.0,Ontario,36
-118.0,35.0,Stockton,7496
-118.0,36.0,Stockton,3
-117.0,33.0,San Diego,212220
-117.0,33.0,Stockton,109
-117.0,34.0,Ontario,7
-117.0,34.0,Rancho Cucamonga,2387
-116.0,35.0,Ontario,2
-115.0,36.0,Las Vegas,31864
-107.0,35.0,Albuquerque,2471
-106.0,35.0,Albuquerque,3
-106.0,40.0,Denver,46
-106.0,41.0,Oakland,243
-106.0,41.0,Ontario,19
-106.0,41.0,Stockton,4329
-106.0,42.0,Stockton,58
-105.0,39.0,Colorado Springs,14908
-105.0,39.0,Denver,63
-105.0,40.0,Aurora,55619
-105.0,40.0,Denver,284240
-105.0,41.0,Oakland,22
-105.0,41.0,Ontario,297
-105.0,41.0,Stockton,2639
-104.0,41.0,Oakland,162
-104.0,41.0,Stockton,446
-104.0,42.0,Stockton,1
-101.0,39.0,Overland Park,34
-100.0,31.0,Houston,33
-100.0,39.0,Overland Park,110
-98.0,28.0,Houston,1
-98.0,29.0,Houston,110
-98.0,30.0,Austin,5975
-98.0,32.0,Houston,57
-98.0,35.0,Oklahoma City,3975
-98.0,36.0,Oklahoma City,2717
-98.0,40.0,Minneapolis,123
-98.0,41.0,Minneapolis,186
-97.0,30.0,Houston,153
-97.0,33.0,Arlington,14673
-97.0,33.0,Houston,469
-97.0,35.0,Oklahoma City,1073
-97.0,36.0,Oklahoma City,1106
-97.0,40.0,Minneapolis,1123
-97.0,41.0,Minneapolis,1499
-97.0,43.0,Sioux Falls,8079
-97.0,44.0,Sioux Falls,52538
-96.0,30.0,Houston,27230
-96.0,31.0,Houston,107
-96.0,32.0,Houston,19
-96.0,34.0,Houston,38
-96.0,40.0,Minneapolis,1398
-96.0,41.0,Minneapolis,10096
-95.0,30.0,Houston,180804
-95.0,31.0,Houston,1528
-95.0,32.0,Houston,85
-95.0,39.0,Overland Park,44623
-95.0,41.0,Adair,151
-95.0,42.0,Adair,168
-95.0,42.0,Bayard,64
-95.0,42.0,Coon Rapids,670
-95.0,42.0,Guthrie Center,149
-94.0,32.0,Houston,18
-94.0,33.0,Houston,8
-94.0,41.0,Earlham,550
-94.0,41.0,Stuart,19
-94.0,42.0,Adel,544
-94.0,42.0,Bouton,158
-94.0,42.0,Dallas Center,819
-94.0,42.0,De Soto,158
-94.0,42.0,Des Moines,23
-94.0,42.0,Dexter,193
-94.0,42.0,Elkhart,115
-94.0,42.0,Granger,217
-94.0,42.0,Guthrie Center,79
-94.0,42.0,Panora,219
-94.0,42.0,Pleasant Hill,1384
-94.0,42.0,Polk City,118
-94.0,42.0,Redfield,145
-94.0,42.0,Stuart,429
-94.0,42.0,Van Meter,50
-94.0,42.0,Waukee,1946
-94.0,42.0,Windsor Heights,379
-94.0,42.0,Woodward,508
-93.0,32.0,Houston,660
-93.0,36.0,St. Louis,26
-93.0,41.0,Carlisle,264
-93.0,41.0,Hartford,27
-93.0,41.0,Milo,326
-93.0,42.0,Baxter,267
-93.0,42.0,Bondurant,504
-93.0,42.0,Carlisle,257
-93.0,42.0,Colfax,277
-93.0,42.0,Kellogg,117
-93.0,42.0,Mitchellville,245
-93.0,42.0,Monroe,398
-93.0,42.0,Newton,3117
-93.0,42.0,Oakland Acres,32
-93.0,42.0,Pleasant Hill,20
-93.0,42.0,Prairie City,312
-93.0,42.0,Runnells,63
-93.0,42.0,Sully,159
-93.0,42.0,Union,165
-93.0,45.0,Minneapolis,174451
-92.0,37.0,Houston,33
-91.0,31.0,Oakland,35
-91.0,32.0,Oakland,11
-91.0,39.0,St. Louis,1856
-90.0,39.0,St. Louis,81570
-90.0,43.0,Madison,13874
-89.0,43.0,Madison,69884
-89.0,43.0,Watertown,6144
-88.0,43.0,Brown Deer,580
-88.0,43.0,Cedarburg,1
-88.0,43.0,Cudahy,423
-88.0,43.0,Fox Point,160
-88.0,43.0,Franklin,328
-88.0,43.0,Glendale,1736
-88.0,43.0,Greendale,270
-88.0,43.0,Greenfield,372
-88.0,43.0,Hales Corners,436
-88.0,43.0,Milwaukee,11158
-88.0,43.0,Muskego,2
-88.0,43.0,New Berlin,6270
-88.0,43.0,Oak Creek,185
-88.0,43.0,Shorewood,94
-88.0,43.0,South Milwaukee,431
-88.0,43.0,Watertown,1
-88.0,43.0,Wauwatosa,1868
-88.0,43.0,West Allis,1428
-88.0,43.0,West Bend,1
-88.0,43.0,West Milwaukee,110
-88.0,43.0,Whitefish Bay,67
-88.0,43.0,Wind Lake,1
-87.0,36.0,Nashville,2039
-86.0,38.0,Louisville,31726
-85.0,34.0,Atlanta,597
-85.0,34.0,Marietta,77
-85.0,38.0,Louisville,985
-84.0,33.0,Atlanta,1
-84.0,34.0,Atlanta,35137
-84.0,34.0,AvondaleEstates,286
-84.0,34.0,Brookhaven,106
-84.0,34.0,CandlerMcAfee,28
-84.0,34.0,Chamblee,114
-84.0,34.0,Clarkston,231
-84.0,34.0,CollegePark,103
-84.0,34.0,Decatur,1858
-84.0,34.0,Doraville,125
-84.0,34.0,Dunwoody,935
-84.0,34.0,EastPoint,584
-84.0,34.0,Hapeville,248
-84.0,34.0,Lithonia,5
-84.0,34.0,Marietta,5
-84.0,34.0,SandySprings,215
-84.0,34.0,Scottdale,45
-84.0,34.0,Tucker,55
-84.0,34.0,Unincorporated,495
-84.0,36.0,Knoxville,8371
-83.0,28.0,Lutz,1
-83.0,28.0,Tampa,1938
-83.0,40.0,Columbus,135411
-83.0,42.0,Detroit,20375
-82.0,27.0,Cape Coral,29911
-82.0,28.0,Seffner,12
-82.0,28.0,Tampa,21720
-82.0,28.0,Temple Terrace,8
-80.0,40.0,Pittsburgh,39903
-79.0,36.0,Durham,16014
-79.0,43.0,Buffalo,74389
-78.0,43.0,Rochester,41778
-77.0,39.0,Baltimore,120624
-77.0,39.0,Washington DC,168005
-77.0,43.0,Rochester,999
-76.0,39.0,Houston,166
-75.0,38.0,Houston,66
-75.0,39.0,Houston,96
-75.0,43.0,Rochester,16
-74.0,40.0,New York,215
-74.0,40.0,Rochester,23
-74.0,41.0,New York,651954
-74.0,41.0,Rochester,2789
-74.0,42.0,Rochester,22
-73.0,41.0,Providence,1
-73.0,42.0,Oakland,181
-73.0,42.0,Rochester,2
-72.0,42.0,Oakland,4
-72.0,42.0,Providence,16
-71.0,42.0,Providence,22311
