State,abundance,fips
Alabama,0,US01
Alaska,0,US02
Arizona,214,US04
Arkansas,0,US05
California,2340303,US06
Colorado,83136,US08
Connecticut,0,US09
Delaware,0,US10
Florida,128731,US12
Georgia,41307,US13
Hawaii,15440,US15
Idaho,0,US16
Illinois,0,US17
Indiana,98942,US18
Iowa,16875,US19
Kansas,45148,US20
Kentucky,32711,US21
Louisiana,0,US22
Maine,105813,US23
Maryland,312287,US24
Massachusetts,18787,US25
Michigan,20963,US26
Minnesota,339183,US27
Mississippi,0,US28
Missouri,83594,US29
Montana,0,US30
Nebraska,0,US31
Nevada,39193,US32
New Hampshire,0,US33
New Jersey,774,US34
New Mexico,2533,US35
New York,816783,US36
North Carolina,16030,US37
North Dakota,0,US38
Ohio,151937,US39
Oklahoma,10000,US40
Oregon,218602,US41
Pennsylvania,45703,US42
Rhode Island,24525,US44
South Carolina,0,US45
South Dakota,63024,US46
Tennessee,12059,US47
Texas,257027,US48
Utah,0,US49
Vermont,0,US50
Virginia,18099,US51
Washington,165623,US53
West Virginia,0,US54
Wisconsin,128302,US55
Wyoming,0,US56
