state_code,year,month,temperature
Alabama,1978,Jan,-2.89
Alabama,1983,Jan,0.11
Alabama,1988,Jan,-0.67
Alabama,1993,Jan,4.22
Alabama,1998,Jan,3.22
Alabama,2003,Jan,-2.0
Alabama,2008,Jan,0.06
Alabama,2013,Jan,4.61
Alabama,2018,Jan,-1.67
Alabama,2023,Jan,4.83
Alabama,1978,Feb,-2.61
Alabama,1983,Feb,2.67
Alabama,1988,Feb,0.33
Alabama,1993,Feb,1.5
Alabama,1998,Feb,3.72
Alabama,2003,Feb,2.89
Alabama,2008,Feb,2.28
Alabama,2013,Feb,2.89
Alabama,2018,Feb,8.83
Alabama,2023,Feb,7.44
Alabama,1978,Mar,3.78
Alabama,1983,Mar,4.89
Alabama,1988,Mar,5.11
Alabama,1993,Mar,4.67
Alabama,1998,Mar,5.61
Alabama,2003,Mar,8.28
Alabama,2008,Mar,5.11
Alabama,2013,Mar,2.89
Alabama,2018,Mar,6.22
Alabama,2023,Mar,7.83
Alabama,1978,Apr,9.83
Alabama,1983,Apr,7.33
Alabama,1988,Apr,9.83
Alabama,1993,Apr,7.72
Alabama,1998,Apr,9.83
Alabama,2003,Apr,10.44
Alabama,2008,Apr,10.33
Alabama,2013,Apr,10.0
Alabama,2018,Apr,7.89
Alabama,2023,Apr,10.56
Alabama,1978,May,14.67
Alabama,1983,May,13.72
Alabama,1988,May,12.06
Alabama,1993,May,14.06
Alabama,1998,May,16.0
Alabama,2003,May,16.44
Alabama,2008,May,14.72
Alabama,2013,May,13.78
Alabama,2018,May,17.06
Alabama,2023,May,15.22
Alabama,1978,Jun,19.22
Alabama,1983,Jun,18.0
Alabama,1988,Jun,17.22
Alabama,1993,Jun,18.94
Alabama,1998,Jun,20.56
Alabama,2003,Jun,18.72
Alabama,2008,Jun,19.33
Alabama,2013,Jun,20.11
Alabama,2018,Jun,20.39
Alabama,2023,Jun,18.78
Alabama,1978,Jul,20.78
Alabama,1983,Jul,20.61
Alabama,1988,Jul,20.44
Alabama,1993,Jul,21.39
Alabama,1998,Jul,22.06
Alabama,2003,Jul,20.67
Alabama,2008,Jul,20.22
Alabama,2013,Jul,20.67
Alabama,2018,Jul,21.56
Alabama,2023,Jul,21.67
Alabama,1978,Aug,20.22
Alabama,1983,Aug,20.67
Alabama,1988,Aug,20.83
Alabama,1993,Aug,20.72
Alabama,1998,Aug,20.39
Alabama,2003,Aug,21.06
Alabama,2008,Aug,20.22
Alabama,2013,Aug,20.33
Alabama,2018,Aug,20.78
Alabama,2023,Aug,21.61
Alabama,1978,Sep,18.44
Alabama,1983,Sep,15.67
Alabama,1988,Sep,18.5
Alabama,1993,Sep,16.78
Alabama,1998,Sep,19.17
Alabama,2003,Sep,16.44
Alabama,2008,Sep,17.89
Alabama,2013,Sep,17.67
Alabama,2018,Sep,20.89
Alabama,2023,Sep,18.0
Alabama,1978,Oct,8.22
Alabama,1983,Oct,11.06
Alabama,1988,Oct,8.22
Alabama,1993,Oct,10.44
Alabama,1998,Oct,12.0
Alabama,2003,Oct,10.61
Alabama,2008,Oct,10.0
Alabama,2013,Oct,11.94
Alabama,2018,Oct,13.72
Alabama,2023,Oct,11.39
Alabama,1978,Nov,7.83
Alabama,1983,Nov,4.67
Alabama,1988,Nov,7.0
Alabama,1993,Nov,4.0
Alabama,1998,Nov,7.89
Alabama,2003,Nov,7.56
Alabama,2008,Nov,3.06
Alabama,2013,Nov,4.44
Alabama,2018,Nov,4.5
Alabama,2023,Nov,
Alabama,1978,Dec,1.11
Alabama,1983,Dec,-0.22
Alabama,1988,Dec,1.33
Alabama,1993,Dec,1.61
Alabama,1998,Dec,5.56
Alabama,2003,Dec,-0.22
Alabama,2008,Dec,3.94
Alabama,2013,Dec,3.11
Alabama,2018,Dec,4.44
Alabama,2023,Dec,
